Source,Longitude,Latitude,Water_Depth,Core_Name,Temp,GDGT_0,GDGT_1,GDGT_2,GDGT_3,Crenarchaeol,Cren
Tierney and Tingley 2015,17.8,39.683,1049,GeoB10711-3,18.9,0.293,0.073,0.067,0.014,0.52,0.035
Tierney and Tingley 2015,17.862,39.727,618,GeoB10712-3,18.9,0.328,0.063,0.054,0.012,0.519,0.024
Tierney and Tingley 2015,18.283,39.692,127,GeoB10713-3,18.9,0.37,0.059,0.039,0.014,0.507,0.012
Tierney and Tingley 2015,18.283,39.64,207,GeoB10714-3,18.9,0.34,0.066,0.044,0.012,0.521,0.017
Tierney and Tingley 2015,18.283,39.559,697,GeoB10715-3,18.9,0.274,0.078,0.066,0.014,0.537,0.03
Tierney and Tingley 2015,18.283,39.345,1328,GeoB10716-3,18.9,0.275,0.071,0.076,0.011,0.523,0.044
Tierney and Tingley 2015,18.08,39.742,96,GeoB10717-3,18.9,0.359,0.063,0.036,0.013,0.524,0.005
Tierney and Tingley 2015,18.058,39.693,219,GeoB10718-3,18.9,0.347,0.066,0.039,0.013,0.525,0.01
Tierney and Tingley 2015,18.042,39.653,616,GeoB10719-3,18.9,0.302,0.068,0.055,0.013,0.528,0.034
Tierney and Tingley 2015,17.978,39.507,1387,GeoB10720-5,18.9,0.253,0.095,0.087,0.012,0.503,0.051
Tierney and Tingley 2015,16.767,42.166,203,GeoB10721-3,18.1,0.34,0.069,0.046,0.013,0.516,0.015
Tierney and Tingley 2015,16.5,42.167,142,GeoB10722-3,18.1,0.371,0.069,0.037,0.012,0.503,0.008
Tierney and Tingley 2015,16,42.167,114,GeoB10723-3,17.8,0.375,0.058,0.029,0.011,0.51,0.017
Tierney and Tingley 2015,16.217,42.001,50,GeoB10724-3,18.1,0.387,0.052,0.023,0.01,0.51,0.018
Tierney and Tingley 2015,16.216,42.05,94,GeoB10725-3,18.1,0.403,0.048,0.021,0.009,0.507,0.011
Tierney and Tingley 2015,16.717,42,183,GeoB10726-3,18.1,0.382,0.051,0.024,0.008,0.526,0.009
Tierney and Tingley 2015,16.617,41.801,101,GeoB10727-3,18.1,0.373,0.067,0.029,0.01,0.511,0.01
Tierney and Tingley 2015,16.858,41.783,194,GeoB10728-3,18.1,0.351,0.072,0.048,0.013,0.496,0.02
Tierney and Tingley 2015,17.191,41.647,712,GeoB10729-4,18.1,0.305,0.071,0.057,0.014,0.525,0.029
Tierney and Tingley 2015,17.05,41.5,183,GeoB10730-3,18.1,0.326,0.073,0.048,0.013,0.527,0.012
Tierney and Tingley 2015,16.658,41.5,96,GeoB10731-3,18.1,0.377,0.055,0.027,0.009,0.523,0.01
Tierney and Tingley 2015,16.407,41.5,51,GeoB10732-3,18.1,0.376,0.046,0.019,0.007,0.549,0.003
Tierney and Tingley 2015,16.225,41.5,22,GeoB10733-3,18.1,0.379,0.055,0.029,0.01,0.522,0.006
